award_title,years,finalist,winner,groups
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,The 42nd Annual Kennedy Center Honors,,"Robert A. Dickinson, (lighting designer),, ,Michael Berger, (lighting director),, ,Will Gossett, (lighting director),, ,Bryan Klunder, (lighting director),, ,Harry Sangmeister, (lighting director),, ,Jason Rudolph, (lighting director)"
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,The 62nd Annual Grammy Awards,,"Robert A. Dickinson, (lighting designer),, ,Noah Mitz, (lighting director),, ,Andy O'Reilly, (lighting director),, ,Patrick Boozer, (lighting director),, ,Madigan Stehly, (lighting director),, ,Will Gossett, (lighting director),, ,Ryan Tanker, (lighting director),, ,Matthew Cotter, (lighting director)"
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,The 73rd Annual Tony Awards,,"Robert A. Dickinson, (lighting designer),, ,Noah Mitz, (lighting director),, ,Ed McCarthy, (lighting director),, ,Harry Sangmeister, (lighting director),, ,Jason Rudolph, (lighting director)"
Outstanding Lighting Design/Lighting Direction for a Variety Special,2020 Awards,The Oscars,,"Robert A. Dickinson, (lighting designer),, ,Noah Mitz, (lighting director),, ,Michael Berger, (lighting director),, ,Andy O'Reilly, (lighting director),, ,Patrick Boozer, (lighting director),, ,Ben Green, (lighting director),, ,Jason Rudolph, (lighting director)"
Outstanding Main Title Design,2020 Awards,Godfather of Harlem,Winner,"Mason Nicoll, (creative director/editor),, ,Peter Pak, (designer/lead animator/art director),, ,Giovana Pham, (designer),, ,Cisco Torres, (animator)"
Outstanding Main Title Design,2020 Awards,Abstract: The Art of Design,,"Allie Fisher, (creative director),, ,Anthony Zazzi, (animator),, ,Brian Oakes, (director)"
Outstanding Main Title Design,2020 Awards,Carnival Row,,"Lisa Bolan, (creative director),, ,Henry DeLeon, (art director),, ,Mert Kizilay, (art director),, ,Kaya Thomas, (designer),, ,Yongsub Song, (animator/compositor),, ,Alex Silver, (animator)"
Outstanding Main Title Design,2020 Awards,The Morning Show,,"Angus Wall, (creative director),, ,Hazel Baird, (creative director),, ,Emanuele Marani, (lead designer),, ,Ej Kang, (lead animator),, ,Peter Murphy, (animator),, ,Erik Righetti, (animator)"
Outstanding Main Title Design,2020 Awards,The Politician,,"Heidi Berg, (creative director),, ,Felix Soletic, (creative director),, ,Carlo Sa, (lead designer),, ,Yongsub Song, (lead animator),, ,Jose Paniagua, (3d artist),, ,Rachel Fowler, (editor)"
Outstanding Main Title Design,2020 Awards,Watchmen,,"Paul Mitchell, (creative director),, ,Olga Midlenko, (art director),, ,Maciek Sokalski, (lead compositor),, ,Gabe Perez, (animator),, ,Benjamin Woodlock, (designer)"
Outstanding Main Title Design,2020 Awards,Westworld,,"Patrick Clair, (creative director),, ,Pinar Yanardag Delul, (creative director),, ,Raoul Marks, (lead animator/compositor),, ,Lance Ashton Slaton, (designer)"
Outstanding Motion Design,2020 Awards,Inside Bill's Brain: Decoding Bill Gates,Winner,"Leanne Dare, (creative director),, ,Eben McCue, (animator),, ,Sebastian Hoppe-Fuentes, (animator),, ,David Navas, (animator)"
Outstanding Multi-Camera Picture Editing for a Comedy Series,2020 Awards,One Day at a Time,Winner,Cheryl Campsmith
Outstanding Multi-Camera Picture Editing for a Comedy Series,2020 Awards,The Conners,,Brian Schnuckel
Outstanding Multi-Camera Picture Editing for a Comedy Series,2020 Awards,Will & Grace,,Peter D. Beyt
Outstanding Multi-Camera Picture Editing for a Comedy Series,2020 Awards,Will & Grace,,Joseph Fulton
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,Why We Hate,Winner,"Laura Karpman, (composer)"
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,Becoming,,"Kamasi Washington, (composer)"
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,Home,,"Amanda Jones, (composer)"
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,McMillions,,"Pinar Toprak, (composer),, ,Alex Kovacs, (composer)"
Outstanding Music Composition for a Documentary Series or Special (Original Dramatic Score),2020 Awards,Tiger King,,"Mark Mothersbaugh, (composer),, ,John Enroth, (composer),, ,Albert Fox, (composer)"
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Watchmen,Winner,"Trent Reznor, (music by),, ,Atticus Ross, (music by)"
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Hollywood,,"Nathan Barr, (composer)"
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Little Fires Everywhere,,"Mark Isham, (composer),, ,Isabella Summers, (composer)"
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Mrs. America,,"Kris Bowers, (score by)"
"Outstanding Music Composition for a Limited Series, Movie or Special (Original Dramatic Score)",2020 Awards,Unorthodox,,"Antonio Gambale, (composer)"
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,The Mandalorian,Winner,Ludwig Göransson
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,Euphoria,,Labrinth
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,Ozark,,"Danny Bensi,, ,Saunder Jurriaans"
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,Succession,,Nicholas Britell
Outstanding Music Composition for a Series (Original Dramatic Score),2020 Awards,The Crown,,Martin Phipps
Outstanding Music Direction,2020 Awards,The 42nd Annual Kennedy Center Honors,Winner,Rickey Minor
Outstanding Music Direction,2020 Awards,Let's Go Crazy: The Grammy Salute to Prince,,"Sheila E.,, ,Jimmy Jam,, ,Terry Lewis"
Outstanding Music Direction,2020 Awards,Saturday Night Live,,"Lenny Pickett,, ,Eli Brueggemann,, ,Leon Pendarvis"
Outstanding Music Direction,2020 Awards,Super Bowl LIV Halftime Show Starring Jennifer Lopez & Shakira,,Adam Blackstone
Outstanding Music Direction,2020 Awards,The Oscars,,Rickey Minor
Outstanding Music Supervision,2020 Awards,The Marvelous Mrs. Maisel,Winner,"Robin Urdang,, ,Amy Sherman-Palladino,, ,Daniel Palladino"
Outstanding Music Supervision,2020 Awards,Better Call Saul,,Thomas Golubic
Outstanding Music Supervision,2020 Awards,Euphoria,,"Jen Malone,, ,Adam Leber"
Outstanding Music Supervision,2020 Awards,Insecure,,Kier Lehman
Outstanding Music Supervision,2020 Awards,Killing Eve,,"Catherine Grieves,, ,David Holmes"
Outstanding Music Supervision,2020 Awards,Stranger Things,,Nora Felder
Outstanding Music Supervision,2020 Awards,Watchmen,,Liza Richardson
Outstanding Narrator,2020 Awards,Seven Worlds One Planet,Winner,David Attenborough
Outstanding Narrator,2020 Awards,Black Patriots,,Kareem Abdul-Jabbar
Outstanding Narrator,2020 Awards,Serengeti,,Lupita Nyong'o
Outstanding Narrator,2020 Awards,The Elephant Queen,,Chiwetel Ejiofor
Outstanding Narrator,2020 Awards,The Imagineering Story,,Angela Bassett
Outstanding Original Interactive Program,2020 Awards,"Brie Larson,Van Jones,Elijah Allan-Blitz,Jana Carter",Winner,
Outstanding Original Main Title Theme Music,2020 Awards,Hollywood,Winner,Nathan Barr
Outstanding Original Main Title Theme Music,2020 Awards,Carnival Row,,Nathan Barr
Outstanding Original Main Title Theme Music,2020 Awards,Defending Jacob,,Ólafur Arnalds
Outstanding Original Main Title Theme Music,2020 Awards,Unorthodox,,Antonio Gambale
Outstanding Original Main Title Theme Music,2020 Awards,Why We Hate,,Laura Karpman
Outstanding Original Main Title Theme Music,2020 Awards,Wu-Tang: An American Saga,,RZA
Outstanding Original Music and Lyrics,2020 Awards,Euphoria,Winner,"Labrinth, (music & lyrics)"
Outstanding Original Music and Lyrics,2020 Awards,Last Week Tonight with John Oliver,,"David Dabbon, (lyrics by),, ,Joanna Rothkopf, (lyrics by),, ,Jill Twiss, (lyrics by),, ,Seena Vali, (lyrics by)"
Outstanding Original Music and Lyrics,2020 Awards,Little Fires Everywhere,,"Ingrid Michaelson, (music & lyrics)"
Outstanding Original Music and Lyrics,2020 Awards,The Black Godfather,,"Pharrell Williams, (music & lyrics),, ,Chad Hugo, (music & lyrics)"
Outstanding Original Music and Lyrics,2020 Awards,The Marvelous Mrs. Maisel,,"Thomas Mizer, (music & lyrics),, ,Curtis Moore, (music & lyrics)"
Outstanding Original Music and Lyrics,2020 Awards,This Is Us,,"Siddhartha Khosla, (music & lyrics),, ,Taylor Goldsmith, (music & lyrics)"
Outstanding Original Music and Lyrics,2020 Awards,Watchmen,,"Trent Reznor, (music & lyrics),, ,Atticus Ross, (music & lyrics)"
Outstanding Period Costumes,2020 Awards,The Crown,Winner,"Amy Roberts, (costume designer),, ,Sidonie Roberts, (assistant costume designer),, ,Sarah Moore, (costume supervisor)"
Outstanding Period Costumes,2020 Awards,Hollywood,,"Lou Eyrich, (costume designer),, ,Sarah Evelyn, (costume designer),, ,Tiger Curran, (assistant costume designer),, ,Suzy Freeman, (costume supervisor)"
Outstanding Period Costumes,2020 Awards,Mrs. America,,"Bina Daigeler, (costume designer),, ,Erin Byrne, (assistant costume designer),, ,Mila Hermanovski, (assistant costume designer),, ,Eileen Kennedy, (assistant costume designer),, ,Sheryl Willock, (assistant costume designer),, ,Bettina Seifert, (costume supervisor),, ,Erika Larner, (costume supervisor)"
Outstanding Period Costumes,2020 Awards,Pose,,"Analucia McGorty, (costume designer),, ,Nicky Smith, (assistant costume designer),, ,Alexa De Fazio, (assistant costume designer),, ,Linda Giammarese, (costume supervisor)"
Outstanding Period Costumes,2020 Awards,The Marvelous Mrs. Maisel,,"Donna Zakowska, (costume designer),, ,Marina Reti, (assistant costume designer),, ,Sheila Grover, (costume supervisor),, ,Virginia D. Patton, (costume supervisor)"
Outstanding Period and/or Character Hairstyling,2020 Awards,Hollywood,Winner,"Michelle Ceglia, (department head hairstylist),, ,Barry Lee Moe, (assistant department head hairstylist),, ,George Guzman, (hairstylist),, ,Michele L. Arvizo, (hairstylist),, ,Maria Elena Pantoja, (hairstylist)"
Outstanding Period and/or Character Hairstyling,2020 Awards,Pose,,"Barry Lee Moe, (department head hairstylist),, ,Tim Harvey, (key hairstylist),, ,Sabana Majeed, (hairstylist),, ,Liliana Meyrick, (hairstylist),, ,Lisa Forst, (hairstylist),, ,Gregory Bazemore, (hairstylist),, ,Jessica Mojica, (hairstylist),, ,Charlene Belmond, (hairstylist)"
Outstanding Period and/or Character Hairstyling,2020 Awards,Star Trek: Picard,,"Maxine Morris, (department head hairstylist),, ,Maria Sandoval, (assistant department head hairstylist),, ,Wendy Southard, (key hairstylist),, ,Sallie Ciganovich, (additional hairstylist),, ,Ashleigh Childers, (hairstylist),, ,Yesim 'Shimmy' Osman, (hairstylist)"
Outstanding Period and/or Character Hairstyling,2020 Awards,The Crown,,"Cate Hall, (department head hairstylist),, ,Louise Coles, (assistant department head hairstylist),, ,Sarah Nuth, (hairstylist),, ,Suzanne David, (hairstylist),, ,Emilie Yong, (assistant department head hairstylist),, ,Catriona Johnstone, (hairstylist)"
Outstanding Period and/or Character Hairstyling,2020 Awards,The Marvelous Mrs. Maisel,,"Kimberley Spiteri, (department head hairstylist),, ,Michael Ward, (key hairstylist),, ,Tijen Osman, (additional hairstylist)"
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,The Marvelous Mrs. Maisel,Winner,"Patricia Regan, (department head makeup artist),, ,Claus Lulla, (key makeup artist),, ,Joseph A. Campayno, (key makeup artist),, ,Margot Boccia, (makeup artist),, ,Michael Laudati, (makeup artist),, ,Tomasina Smith, (makeup artist),, ,Roberto Baez, (makeup artist),, ,Alberto Machuca, (makeup artist)"
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,American Horror Story,,"Carleigh Herbert, (department head makeup artist),, ,Abby Lyle, (assistant department head makeup artist),, ,Mo Meinhart, (makeup artist),, ,Lawrence Mercado, (makeup artist)"
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,Hollywood,,"Eryn Krueger Mekash, (department head makeup artist),, ,Kim Ayers, (assistant department head makeup artist),, ,Kerrin Jackson, (makeup artist),, ,Ana Gabriela Quinonez, (makeup artist)"
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,Pose,,"Sherri Berman Laurence, (department head makeup artist),, ,Nicky Pattison Illum, (key makeup artist),, ,Chris Milone, (makeup artist),, ,Deja Marie Smith, (makeup artist),, ,Jessica Padilla, (makeup artist)"
Outstanding Period and/or Character Makeup (Non-Prosthetic),2020 Awards,Star Trek: Picard,,"Silvina Knight, (assistant department head makeup artist),, ,Robin Beauchesne, (key makeup artist),, ,David Williams, (makeup artist),, ,Peter De Oliveira, (makeup artist),, ,Natalie Thimm, (makeup artist)"
Outstanding Picture Editing for Variety Programming,2020 Awards,Last Week Tonight with John Oliver,Winner,"Ryan Barger, (editor)"
Outstanding Picture Editing for Variety Programming,2020 Awards,Dave Chappelle: Sticks & Stones,,"Jeff U'ren, (editor)"
Outstanding Picture Editing for Variety Programming,2020 Awards,Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,,"Brad Gilson, (editor),, ,Chester Contaoi, (editor),, ,Jon Alloway, (editor),, ,Pi Ware, (package editor),, ,Brian Forbes, (package editor)"
Outstanding Picture Editing for Variety Programming,2020 Awards,Last Week Tonight with John Oliver,,"Anthony Miale, (editor)"
Outstanding Picture Editing for Variety Programming,2020 Awards,The Daily Show,,"Mike Choi, (editor),, ,Thomas Favilla, (editor),, ,Nikolai Johnson, (editor),, ,Mark Paone, (editor),, ,Erin Shannon, (editor),, ,Catherine Trasborg, (editor),, ,Einar Westerlund, (editor),, ,Robert York, (editor)"
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,Apollo 11,Winner,Todd Douglas Miller
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,American Factory,,Lindsay Utz
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,Beastie Boys Story,,"Jeff Buchanan, (editor),, ,Zoe Schack, (editor)"
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,McMillions,,"Jody McVeigh-Schultz,, ,Lane Farnham,, ,James Lee Hernandez,, ,Brian Lazarte,, ,Scott D. Hanson"
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,The Last Dance,,"Chad Beck,, ,Devin Concannon,, ,Abhay Sofsky,, ,Ben Sozanski"
Outstanding Picture Editing for a Nonfiction Program,2020 Awards,Tiger King,,"Doug Abel,, ,Nicholas Biagetti,, ,Dylan Hansen-Fliedner,, ,Geoffrey Richman,, ,Daniel Koehler"
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,RuPaul's Drag Race,Winner,"Jamie Martin, (lead editor),, ,Michael Roha, (editor),, ,Paul Cross, (editor),, ,Michael Lynn Deis, (editor),, ,Ryan Mallick, (editor)"
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,Lego Masters,,"Samantha Diamond, (editor),, ,Dan Hancox, (editor),, ,Karl Kimbrough, (editor),, ,Ian Kaufman, (editor),, ,Kevin Benson, (editor),, ,Josh Young, (editor),, ,Jon Bilicki, (editor)"
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,Queer Eye,,"Ryan Taylor, (lead editor),, ,Tony Zajkowski, (editor)"
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,Survivor,,"Michael Greer, (supervising editor),, ,Chad Bertalotto, (editor),, ,Evan Mediuch, (editor),, ,James Ciccarello, (editor),, ,Jacob Teixeira, (editor)"
Outstanding Picture Editing for a Structured Reality or Competition Program,2020 Awards,Top Chef,,"Matt Reynolds, (editor),, ,David Chalfin, (editor),, ,Michael Abitz, (additional editor),, ,Eric Lambert, (additional editor),, ,Jose Manuel Rodriguez Bermejo, (additional editor),, ,Dan Williams, (additional editor)"
