award_title,years,finalist,winner,groups,url
Outstanding Lead Actor in a Comedy Series,2019 Awards,Ted Danson,,The Good Place,/name/nm0001101/?ref_=m_ev_nom
Outstanding Lead Actress in a Comedy Series,2019 Awards,Phoebe Waller-Bridge,Winner,Fleabag,/name/nm3564817/?ref_=m_ev_nom
Outstanding Lead Actress in a Comedy Series,2019 Awards,Catherine O'Hara,,Schitt's Creek,/name/nm0001573/?ref_=m_ev_nom
Outstanding Lead Actress in a Comedy Series,2019 Awards,Christina Applegate,,Dead to Me,/name/nm0000775/?ref_=m_ev_nom
Outstanding Lead Actress in a Comedy Series,2019 Awards,Julia Louis-Dreyfus,,Veep,/name/nm0000506/?ref_=m_ev_nom
Outstanding Lead Actress in a Comedy Series,2019 Awards,Natasha Lyonne,,Russian Doll,/name/nm0005169/?ref_=m_ev_nom
Outstanding Lead Actress in a Comedy Series,2019 Awards,Rachel Brosnahan,,The Marvelous Mrs. Maisel,/name/nm3014031/?ref_=m_ev_nom
Outstanding Lead Actor in a Limited Series or Movie,2019 Awards,Jharrel Jerome,Winner,When They See Us,/name/nm7851611/?ref_=m_ev_nom
Outstanding Lead Actor in a Limited Series or Movie,2019 Awards,Benicio Del Toro,,Escape at Dannemora,/name/nm0001125/?ref_=m_ev_nom
Outstanding Lead Actor in a Limited Series or Movie,2019 Awards,Hugh Grant,,A Very English Scandal,/name/nm0000424/?ref_=m_ev_nom
Outstanding Lead Actor in a Limited Series or Movie,2019 Awards,Jared Harris,,Chernobyl,/name/nm0364813/?ref_=m_ev_nom
Outstanding Lead Actor in a Limited Series or Movie,2019 Awards,Mahershala Ali,,True Detective,/name/nm0991810/?ref_=m_ev_nom
Outstanding Lead Actor in a Limited Series or Movie,2019 Awards,Sam Rockwell,,Fosse/Verdon,/name/nm0005377/?ref_=m_ev_nom
Outstanding Lead Actress in a Limited Series or Movie,2019 Awards,Michelle Williams,Winner,Fosse/Verdon,/name/nm0931329/?ref_=m_ev_nom
Outstanding Lead Actress in a Limited Series or Movie,2019 Awards,Amy Adams,,Sharp Objects,/name/nm0010736/?ref_=m_ev_nom
Outstanding Lead Actress in a Limited Series or Movie,2019 Awards,Aunjanue Ellis,,When They See Us,/name/nm0254712/?ref_=m_ev_nom
Outstanding Lead Actress in a Limited Series or Movie,2019 Awards,Joey King,,The Act,/name/nm1428821/?ref_=m_ev_nom
Outstanding Lead Actress in a Limited Series or Movie,2019 Awards,Niecy Nash,,When They See Us,/name/nm0621788/?ref_=m_ev_nom
Outstanding Lead Actress in a Limited Series or Movie,2019 Awards,Patricia Arquette,,Escape at Dannemora,/name/nm0000099/?ref_=m_ev_nom
Outstanding Supporting Actor in a Drama Series,2019 Awards,Peter Dinklage,Winner,Game of Thrones,/name/nm0227759/?ref_=m_ev_nom
Outstanding Supporting Actor in a Drama Series,2019 Awards,Alfie Allen,,Game of Thrones,/name/nm0654295/?ref_=m_ev_nom
Outstanding Supporting Actor in a Drama Series,2019 Awards,Chris Sullivan,,This Is Us,/name/nm2884388/?ref_=m_ev_nom
Outstanding Supporting Actor in a Drama Series,2019 Awards,Giancarlo Esposito,,Better Call Saul,/name/nm0002064/?ref_=m_ev_nom
Outstanding Supporting Actor in a Drama Series,2019 Awards,Jonathan Banks,,Better Call Saul,/name/nm0052186/?ref_=m_ev_nom
Outstanding Supporting Actor in a Drama Series,2019 Awards,Michael Kelly,,House of Cards,/name/nm0446672/?ref_=m_ev_nom
Outstanding Supporting Actor in a Drama Series,2019 Awards,Nikolaj Coster-Waldau,,Game of Thrones,/name/nm0182666/?ref_=m_ev_nom
Outstanding Supporting Actress in a Drama Series,2019 Awards,Julia Garner,Winner,Ozark,/name/nm3400186/?ref_=m_ev_nom
Outstanding Supporting Actress in a Drama Series,2019 Awards,Fiona Shaw,,Killing Eve,/name/nm0789716/?ref_=m_ev_nom
Outstanding Supporting Actress in a Drama Series,2019 Awards,Gwendoline Christie,,Game of Thrones,/name/nm3729225/?ref_=m_ev_nom
Outstanding Supporting Actress in a Drama Series,2019 Awards,Lena Headey,,Game of Thrones,/name/nm0372176/?ref_=m_ev_nom
Outstanding Supporting Actress in a Drama Series,2019 Awards,Maisie Williams,,Game of Thrones,/name/nm3586035/?ref_=m_ev_nom
Outstanding Supporting Actress in a Drama Series,2019 Awards,Sophie Turner,,Game of Thrones,/name/nm3849842/?ref_=m_ev_nom
Outstanding Supporting Actor in a Comedy Series,2019 Awards,Tony Shalhoub,Winner,The Marvelous Mrs. Maisel,/name/nm0001724/?ref_=m_ev_nom
Outstanding Supporting Actor in a Comedy Series,2019 Awards,Alan Arkin,,The Kominsky Method,/name/nm0000273/?ref_=m_ev_nom
Outstanding Supporting Actor in a Comedy Series,2019 Awards,Anthony Carrigan,,Barry,/name/nm2810593/?ref_=m_ev_nom
Outstanding Supporting Actor in a Comedy Series,2019 Awards,Henry Winkler,,Barry,/name/nm0001857/?ref_=m_ev_nom
Outstanding Supporting Actor in a Comedy Series,2019 Awards,Stephen Root,,Barry,/name/nm0740535/?ref_=m_ev_nom
Outstanding Supporting Actor in a Comedy Series,2019 Awards,Tony Hale,,Veep,/name/nm0355024/?ref_=m_ev_nom
Outstanding Supporting Actress in a Comedy Series,2019 Awards,Alex Borstein,Winner,The Marvelous Mrs. Maisel,/name/nm0097504/?ref_=m_ev_nom
Outstanding Supporting Actress in a Comedy Series,2019 Awards,Anna Chlumsky,,Veep,/name/nm0001043/?ref_=m_ev_nom
Outstanding Supporting Actress in a Comedy Series,2019 Awards,Betty Gilpin,,GLOW,/name/nm2365811/?ref_=m_ev_nom
Outstanding Supporting Actress in a Comedy Series,2019 Awards,Kate McKinnon,,Saturday Night Live,/name/nm0571952/?ref_=m_ev_nom
Outstanding Supporting Actress in a Comedy Series,2019 Awards,Marin Hinkle,,The Marvelous Mrs. Maisel,/name/nm0385792/?ref_=m_ev_nom
Outstanding Supporting Actress in a Comedy Series,2019 Awards,Olivia Colman,,Fleabag,/name/nm1469236/?ref_=m_ev_nom
Outstanding Supporting Actress in a Comedy Series,2019 Awards,Sarah Goldberg,,Barry,/name/nm3057022/?ref_=m_ev_nom
Outstanding Supporting Actress in a Comedy Series,2019 Awards,Sian Clifford,,Fleabag,/name/nm5427486/?ref_=m_ev_nom
Outstanding Supporting Actor in a Limited Series or Movie,2019 Awards,Ben Whishaw,Winner,A Very English Scandal,/name/nm0924210/?ref_=m_ev_nom
Outstanding Supporting Actor in a Limited Series or Movie,2019 Awards,Asante Blackk,,When They See Us,/name/nm10040186/?ref_=m_ev_nom
Outstanding Supporting Actor in a Limited Series or Movie,2019 Awards,John Leguizamo,,When They See Us,/name/nm0000491/?ref_=m_ev_nom
Outstanding Supporting Actor in a Limited Series or Movie,2019 Awards,Michael Kenneth Williams,,When They See Us,/name/nm0931324/?ref_=m_ev_nom
Outstanding Supporting Actor in a Limited Series or Movie,2019 Awards,Paul Dano,,Escape at Dannemora,/name/nm0200452/?ref_=m_ev_nom
Outstanding Supporting Actor in a Limited Series or Movie,2019 Awards,Stellan Skarsgård,,Chernobyl,/name/nm0001745/?ref_=m_ev_nom
Outstanding Supporting Actress in a Limited Series or Movie,2019 Awards,Patricia Arquette,Winner,The Act,/name/nm0000099/?ref_=m_ev_nom
Outstanding Supporting Actress in a Limited Series or Movie,2019 Awards,Emily Watson,,Chernobyl,/name/nm0001833/?ref_=m_ev_nom
Outstanding Supporting Actress in a Limited Series or Movie,2019 Awards,Margaret Qualley,,Fosse/Verdon,/name/nm4960279/?ref_=m_ev_nom
Outstanding Supporting Actress in a Limited Series or Movie,2019 Awards,Marsha Stephanie Blake,,When They See Us,/name/nm1750371/?ref_=m_ev_nom
Outstanding Supporting Actress in a Limited Series or Movie,2019 Awards,Patricia Clarkson,,Sharp Objects,/name/nm0165101/?ref_=m_ev_nom
Outstanding Supporting Actress in a Limited Series or Movie,2019 Awards,Vera Farmiga,,When They See Us,/name/nm0267812/?ref_=m_ev_nom
Outstanding Guest Actor in a Drama Series,2019 Awards,Bradley Whitford,Winner,The Handmaid's Tale,/name/nm0925966/?ref_=m_ev_nom
Outstanding Guest Actor in a Drama Series,2019 Awards,Glynn Turman,,How to Get Away with Murder,/name/nm0877270/?ref_=m_ev_nom
Outstanding Guest Actor in a Drama Series,2019 Awards,Kumail Nanjiani,,The Twilight Zone,/name/nm3529685/?ref_=m_ev_nom
Outstanding Guest Actor in a Drama Series,2019 Awards,Michael Angarano,,This Is Us,/name/nm0029400/?ref_=m_ev_nom
Outstanding Guest Actor in a Drama Series,2019 Awards,Michael McKean,,Better Call Saul,/name/nm0571106/?ref_=m_ev_nom
Outstanding Guest Actor in a Drama Series,2019 Awards,Ron Cephas Jones,,This Is Us,/name/nm0429171/?ref_=m_ev_nom
Outstanding Guest Actress in a Drama Series,2019 Awards,Cherry Jones,Winner,The Handmaid's Tale,/name/nm0427728/?ref_=m_ev_nom
Outstanding Guest Actress in a Drama Series,2019 Awards,Carice van Houten,,Game of Thrones,/name/nm0396924/?ref_=m_ev_nom
Outstanding Guest Actress in a Drama Series,2019 Awards,Cicely Tyson,,How to Get Away with Murder,/name/nm0001807/?ref_=m_ev_nom
Outstanding Guest Actress in a Drama Series,2019 Awards,Jessica Lange,,American Horror Story,/name/nm0001448/?ref_=m_ev_nom
Outstanding Guest Actress in a Drama Series,2019 Awards,Laverne Cox,,Orange Is the New Black,/name/nm1209545/?ref_=m_ev_nom
Outstanding Guest Actress in a Drama Series,2019 Awards,Phylicia Rashad,,This Is Us,/name/nm0711118/?ref_=m_ev_nom
Outstanding Guest Actor in a Comedy Series,2019 Awards,Luke Kirby,Winner,The Marvelous Mrs. Maisel,/name/nm0456186/?ref_=m_ev_nom
Outstanding Guest Actor in a Comedy Series,2019 Awards,Adam Sandler,,Saturday Night Live,/name/nm0001191/?ref_=m_ev_nom
Outstanding Guest Actor in a Comedy Series,2019 Awards,John Mulaney,,Saturday Night Live,/name/nm1825214/?ref_=m_ev_nom
Outstanding Guest Actor in a Comedy Series,2019 Awards,Matt Damon,,Saturday Night Live,/name/nm0000354/?ref_=m_ev_nom
Outstanding Guest Actor in a Comedy Series,2019 Awards,Peter MacNicol,,Veep,/name/nm0001493/?ref_=m_ev_nom
Outstanding Guest Actor in a Comedy Series,2019 Awards,Robert De Niro,,Saturday Night Live,/name/nm0000134/?ref_=m_ev_nom
Outstanding Guest Actor in a Comedy Series,2019 Awards,Rufus Sewell,,The Marvelous Mrs. Maisel,/name/nm0001722/?ref_=m_ev_nom
Outstanding Guest Actress in a Comedy Series,2019 Awards,Jane Lynch,Winner,The Marvelous Mrs. Maisel,/name/nm0528331/?ref_=m_ev_nom
Outstanding Guest Actress in a Comedy Series,2019 Awards,Emma Thompson,,Saturday Night Live,/name/nm0000668/?ref_=m_ev_nom
Outstanding Guest Actress in a Comedy Series,2019 Awards,Fiona Shaw,,Fleabag,/name/nm0789716/?ref_=m_ev_nom
Outstanding Guest Actress in a Comedy Series,2019 Awards,Kristin Scott Thomas,,Fleabag,/name/nm0000218/?ref_=m_ev_nom
Outstanding Guest Actress in a Comedy Series,2019 Awards,Maya Rudolph,,The Good Place,/name/nm0748973/?ref_=m_ev_nom
Outstanding Guest Actress in a Comedy Series,2019 Awards,Sandra Oh,,Saturday Night Live,/name/nm0644897/?ref_=m_ev_nom
Outstanding Variety Talk Series,2019 Awards,Last Week Tonight with John Oliver,Winner,"John Oliver,, ,Tim Carvell,, ,Liz Stanton,, ,Jeremy Tchaban",/title/tt3530232/?ref_=m_ev_nom
Outstanding Variety Talk Series,2019 Awards,Full Frontal with Samantha Bee,,"Samantha Bee,, ,Jason Jones,, ,Tony Hernandez,, ,Miles Kahn,, ,Alison Camillo,, ,Pat King,, ,Melinda Taub,, ,Christopher Savage,, ,Allana Harkin,, ,Kim Burdges",/title/tt5323988/?ref_=m_ev_nom
Outstanding Variety Talk Series,2019 Awards,Jimmy Kimmel Live!,,"Jimmy Kimmel,, ,Jill Leiderman,, ,Doug DeLuca,, ,Erin Irwin,, ,David Craig,, ,Molly McNearney,, ,Jennifer Sharron,, ,Gary Greenberg,, ,Tony Romero,, ,Josh Weintraub,, ,Ken Crosby,, ,Seth Weidner,, ,Danny Ricker",/title/tt0320037/?ref_=m_ev_nom
Outstanding Variety Talk Series,2019 Awards,The Daily Show,,"Trevor Noah,, ,Steve Bodow,, ,Jennifer Flanz,, ,Jill Katz,, ,Justin Melkmann,, ,David Kibuuka,, ,Max Browning,, ,Eric Davies,, ,Pamela DePace,, ,Ramin Hedayati,, ,Elise Terrell,, ,Jocelyn Conn,, ,Zhubin Parang",/title/tt0115147/?ref_=m_ev_nom
Outstanding Variety Talk Series,2019 Awards,The Late Late Show with James Corden,,"Ben Winston,, ,Rob Crabbe,, ,James Longman,, ,Sheila Rogers,, ,Josie Cliff,, ,Jeff Kopp,, ,James Corden,, ,Diana Miller",/title/tt4280606/?ref_=m_ev_nom
Outstanding Variety Talk Series,2019 Awards,The Late Show with Stephen Colbert,,"Stephen Colbert,, ,Chris Licht,, ,Tom Purcell,, ,Jon Stewart,, ,Barry Julien,, ,Denise C. Rehrig,, ,Tanya Michnevich,, ,Paul Dinello,, ,Matt Lappin,, ,Opus Moreschi,, ,Emily Gertler,, ,Aaron Cohen,, ,Paige Kendig,, ,Jake Plunkett,, ,Michael Brumm,, ,Bjoern C. Stejskal",/title/tt3697842/?ref_=m_ev_nom
Outstanding Host for a Reality or Reality-Competition Program,2019 Awards,RuPaul's Drag Race,Winner,RuPaul,/title/tt1353056/?ref_=m_ev_nom
Outstanding Host for a Reality or Reality-Competition Program,2019 Awards,Ellen's Game of Games,,Ellen DeGeneres,/title/tt7369770/?ref_=m_ev_nom
Outstanding Host for a Reality or Reality-Competition Program,2019 Awards,Making It,,"Amy Poehler,, ,Nick Offerman",/title/tt6874206/?ref_=m_ev_nom
Outstanding Host for a Reality or Reality-Competition Program,2019 Awards,The World's Best,,James Corden,/title/tt8001752/?ref_=m_ev_nom
Outstanding Host for a Reality or Reality-Competition Program,2019 Awards,Tidying Up with Marie Kondo,,Marie Kondo,/title/tt8115560/?ref_=m_ev_nom
Outstanding Directing for a Drama Series,2019 Awards,Jason Bateman,Winner,Ozark,/name/nm0000867/?ref_=m_ev_nom
Outstanding Directing for a Drama Series,2019 Awards,Adam McKay,,Succession,/name/nm0570912/?ref_=m_ev_nom
Outstanding Directing for a Drama Series,2019 Awards,"D.B. Weiss,David Benioff",,Game of Thrones,/name/nm1888967/?ref_=m_ev_nom
Outstanding Directing for a Drama Series,2019 Awards,Daina Reid,,The Handmaid's Tale,/name/nm0717225/?ref_=m_ev_nom
Outstanding Directing for a Drama Series,2019 Awards,David Nutter,,Game of Thrones,/name/nm0638354/?ref_=m_ev_nom
Outstanding Directing for a Drama Series,2019 Awards,Lisa Brühlmann,,Killing Eve,/name/nm2337186/?ref_=m_ev_nom
Outstanding Directing for a Drama Series,2019 Awards,Miguel Sapochnik,,Game of Thrones,/name/nm0764601/?ref_=m_ev_nom
Outstanding Directing for a Comedy Series,2019 Awards,Harry Bradbeer,Winner,Fleabag,/name/nm0102873/?ref_=m_ev_nom
Outstanding Directing for a Comedy Series,2019 Awards,Alec Berg,,Barry,/name/nm0073688/?ref_=m_ev_nom
Outstanding Directing for a Comedy Series,2019 Awards,Amy Sherman-Palladino,,The Marvelous Mrs. Maisel,/name/nm0792371/?ref_=m_ev_nom
Outstanding Directing for a Comedy Series,2019 Awards,Bill Hader,,Barry,/name/nm0352778/?ref_=m_ev_nom
Outstanding Directing for a Comedy Series,2019 Awards,Daniel Palladino,,The Marvelous Mrs. Maisel,/name/nm0657763/?ref_=m_ev_nom
Outstanding Directing for a Comedy Series,2019 Awards,Mark Cendrowski,,The Big Bang Theory,/name/nm0148252/?ref_=m_ev_nom
"Outstanding Directing for a Limited Series, Movie or a Dramatic Special",2019 Awards,Johan Renck,Winner,Chernobyl,/name/nm0719307/?ref_=m_ev_nom
"Outstanding Directing for a Limited Series, Movie or a Dramatic Special",2019 Awards,Ava DuVernay,,When They See Us,/name/nm1148550/?ref_=m_ev_nom
"Outstanding Directing for a Limited Series, Movie or a Dramatic Special",2019 Awards,Ben Stiller,,Escape at Dannemora,/name/nm0001774/?ref_=m_ev_nom
"Outstanding Directing for a Limited Series, Movie or a Dramatic Special",2019 Awards,Jessica Yu,,Fosse/Verdon,/name/nm0950506/?ref_=m_ev_nom
"Outstanding Directing for a Limited Series, Movie or a Dramatic Special",2019 Awards,Stephen Frears,,A Very English Scandal,/name/nm0001241/?ref_=m_ev_nom
"Outstanding Directing for a Limited Series, Movie or a Dramatic Special",2019 Awards,Thomas Kail,,Fosse/Verdon,/name/nm2371802/?ref_=m_ev_nom
Outstanding Directing for a Variety Series,2019 Awards,Don Roy King,Winner,Saturday Night Live,/name/nm0454660/?ref_=m_ev_nom
Outstanding Directing for a Variety Series,2019 Awards,"Alexander Buono,Rhys Thomas",,Documentary Now!,/name/nm0120645/?ref_=m_ev_nom
Outstanding Directing for a Variety Series,2019 Awards,Derek Waters,,Drunk History,/name/nm1169531/?ref_=m_ev_nom
Outstanding Directing for a Variety Series,2019 Awards,Jim Hoskinson,,The Late Show with Stephen Colbert,/name/nm2078274/?ref_=m_ev_nom
Outstanding Directing for a Variety Series,2019 Awards,Paul Pennolino,,Last Week Tonight with John Oliver,/name/nm2142199/?ref_=m_ev_nom
Outstanding Directing for a Variety Series,2019 Awards,"Sacha Baron Cohen,Nathan Fielder,Daniel Gray Longino,Dan Mazer",,Who Is America?,/name/nm0056187/?ref_=m_ev_nom
Outstanding Directing for a Variety Special,2019 Awards,Springsteen on Broadway,Winner,Thom Zimny,/title/tt8716334/?ref_=m_ev_nom
Outstanding Directing for a Variety Special,2019 Awards,Carpool Karaoke: When Corden Met McCartney Live From Liverpool,,Ben Winston,/title/tt8814928/?ref_=m_ev_nom
Outstanding Directing for a Variety Special,2019 Awards,Homecoming: A Film by Beyoncé,,"Beyoncé,, ,Ed Burke",/title/tt10147546/?ref_=m_ev_nom
Outstanding Directing for a Variety Special,2019 Awards,Live in Front of a Studio Audience: Norman Lear's 'All in the Family' and 'The Jeffersons',,"James Burrows,, ,Andy Fisher",/title/tt10313336/?ref_=m_ev_nom
Outstanding Directing for a Variety Special,2019 Awards,The Oscars,,Glenn Weiss,/title/tt9168816/?ref_=m_ev_nom
Outstanding Writing for a Drama Series,2019 Awards,Jesse Armstrong,Winner,Succession,/name/nm1104036/?ref_=m_ev_nom
Outstanding Writing for a Drama Series,2019 Awards,"Bruce Miller,Kira Snyder",,The Handmaid's Tale,/name/nm0588005/?ref_=m_ev_nom
Outstanding Writing for a Drama Series,2019 Awards,"David Benioff,D.B. Weiss",,Game of Thrones,/name/nm1125275/?ref_=m_ev_nom
Outstanding Writing for a Drama Series,2019 Awards,Emerald Fennell,,Killing Eve,/name/nm2193504/?ref_=m_ev_nom
Outstanding Writing for a Drama Series,2019 Awards,Jed Mercurio,,Bodyguard,/name/nm0580519/?ref_=m_ev_nom
Outstanding Writing for a Drama Series,2019 Awards,"Peter Gould,Thomas Schnauz",,Better Call Saul,/name/nm0332467/?ref_=m_ev_nom
Outstanding Writing for a Comedy Series,2019 Awards,Phoebe Waller-Bridge,Winner,Fleabag,/name/nm3564817/?ref_=m_ev_nom
Outstanding Writing for a Comedy Series,2019 Awards,"Alec Berg,Bill Hader",,Barry,/name/nm0073688/?ref_=m_ev_nom
Outstanding Writing for a Comedy Series,2019 Awards,Allison Silverman,,Russian Doll,/name/nm0798881/?ref_=m_ev_nom
Outstanding Writing for a Comedy Series,2019 Awards,David Mandel,,Veep,/name/nm0541635/?ref_=m_ev_nom
Outstanding Writing for a Comedy Series,2019 Awards,"Josh Siegal,Dylan Morgan",,The Good Place,/name/nm0796875/?ref_=m_ev_nom
Outstanding Writing for a Comedy Series,2019 Awards,"Leslye Headland,Natasha Lyonne,Amy Poehler",,Russian Doll,/name/nm2853516/?ref_=m_ev_nom
Outstanding Writing for a Comedy Series,2019 Awards,"Maya Erskine,Anna Konkle,Stacy Osei-Kuffour",,PEN15,/name/nm4224109/?ref_=m_ev_nom
"Outstanding Writing for a Limited Series, Movie or a Dramatic Special",2019 Awards,Craig Mazin,Winner,Chernobyl,/name/nm0563301/?ref_=m_ev_nom
"Outstanding Writing for a Limited Series, Movie or a Dramatic Special",2019 Awards,"Ava DuVernay,Michael Starrbury",,When They See Us,/name/nm1148550/?ref_=m_ev_nom
"Outstanding Writing for a Limited Series, Movie or a Dramatic Special",2019 Awards,"Brett Johnson,Michael Tolkin,Jerry Stahl",,Escape at Dannemora,/name/nm1303762/?ref_=m_ev_nom
"Outstanding Writing for a Limited Series, Movie or a Dramatic Special",2019 Awards,"Brett Johnson,Michael Tolkin",,Escape at Dannemora,/name/nm1303762/?ref_=m_ev_nom
"Outstanding Writing for a Limited Series, Movie or a Dramatic Special",2019 Awards,Russell T. Davies,,A Very English Scandal,/name/nm0203961/?ref_=m_ev_nom
